URL,Version,Status,OIDs,Name,Title,Description,Used
https://terminologias.hl7.pt/fhir/CodeSystem/cparm-units-presentation-cs,1.0.0,active,,CPARMUnitsPresentationCS,Unidades de apresentação,"Unidades de apresentação de medicamentos","ConceptMap/ctc-unit-edqm"
https://terminologias.hl7.pt/fhir/CodeSystem/especialidades-enfermagem-cs,1.0.0,active,,EspecialidadesEnfermagemCS,Especialidades Enfermagem,"Especialidades enfermagem existentes em Portugal","ConceptMap/esp-enfer-snomed"
https://terminologias.hl7.pt/fhir/CodeSystem/especialidades-farmaceuticas-cs,1.0.0,active,,EspecialidadesFarmaceuticasCS,Especialidades Farmacêuticas,"Especialidades farmacêuticas existentes em Portugal","ConceptMap/esp-farm-snomed"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-a-analises-cs,1.0.0,active,,MCDTSA_AnalisesCS,MCDTS Tabela Da Área A - Análises Clínicas,"Tabela Da Área A - Análises Clínicas","ConceptMap/mcdts-a-analises-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-b-anatomia-cs,1.0.0,active,,MCDTSB_AnatomiaCS,MCDTS Tabela Da Área B - Anatomia Patológica,"Tabela Da Área B - Anatomia Patológica","ConceptMap/mcdts-b-anatomia-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-c-cardiologia-cs,1.0.0,active,,MCDTSC_CardiologiaCS,MCDTS Tabela Da Área C - Cardiologia,"Tabela Da Área C - Cardiologia","ConceptMap/mcdts-c-cardiologia-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-d-m-nuclear-cs,1.0.0,active,,MCDTSD_MNuclearCS,MCDTS Tabela Da Área D - Medicina Nuclear,"Tabela Da Área D - Medicina Nuclear","ConceptMap/mcdts-d-m-nuclear-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-e-eeg-cs,1.0.0,active,,MCDTSE_EEGCS,MCDTS Tabela Da Área E - Electroencefalografia,"Tabela Da Área E - Electroencefalografia","ConceptMap/mcdts-e-eeg-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-f-gastrenterologia-cs,1.0.0,active,,MCDTSF_GastrenterologiaCS,MCDTS Tabela Da Área F - Endoscopia Gastrenterológica,"Tabela Da Área F - Endoscopia Gastrenterológica","ConceptMap/mcdts-f-gastrenterologia-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-g-mfr-cs,1.0.0,active,,MCDTSG_MFRCS,MCDTS Tabela Da Área G - Medicina Fisica E De Reabilitação,"Tabela Da Área G - Medicina Fisica E De Reabilitação","ConceptMap/mcdts-g-mfr-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-h-orl-cs,1.0.0,active,,MCDTSH_ORLCS,MCDTS Tabela Da Área H - Otorrinolaringologia,"Tabela Da Área H - Otorrinolaringologia","ConceptMap/mcdts-h-orl-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-i-pneumologia-imunoalergologia-cs,1.0.0,active,,MCDTSI_Pneumologia_ImunoalergologiaCS,MCDTS Tabela Da Área I - Tabela De Pneumologia E Tabela De Imunoalergologia,"Tabela Da Área I - Tabela De Pneumologia E Tabela De Imunoalergologia","ConceptMap/mcdts-i-pneumologia-imunoalergologia-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-j-urologia-cs,1.0.0,active,,MCDTSJ_UrologiaCS,MCDTS Tabela Da Área J - Urologia,"Tabela Da Área J - Urologia","ConceptMap/mcdts-j-urologia-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-l-neurofisiologia-cs,1.0.0,active,,MCDTSL_NeurofisiologiaCS,MCDTS Tabela Da Área L - Neurofisiologia,"Tabela Da Área L - Neurofisiologia","ConceptMap/mcdts-l-neurofisiologia-sns-conv"
https://terminologias.hl7.pt/fhir/CodeSystem/mcdts-m-radiologia-cs,1.0.0,active,,MCDTSM_RadiologiaCS,MCDTS Tabela Da Área M - Tabela De Radiologia ,"Tabela Da Área M - Tabela De Radiologia ","ConceptMap/mcdts-m-radiologia-sns-conv"
